descr|cat
коньяк золотой резерв, 5- летний, 0,5 л, россия|8
вино игристое martini asti, белое сладкое, в подарочной упаковке, 0,75 л, италия|8
шампунь/ бальзам для волос elseve 400 мл|9
крем nivea кеа, увлажняющий, для чувствительной кожи, 100 мл|9
салатник giaretti fiesta, пластик: - 0,6 л – 49,99 руб. - 1,7 л – 89,99 руб. - 2,8 л – 109,99 руб. - 5 л – 189,99 руб.|9
конфеты красный октябрь/ рот фронт/ бабаевский, весовые, 1 кг: - аленка крем- брюле - птичье молоко - наслаждение - батончики - маска|7
макароны экстра м, 400 г, в ассортименте|5
вино игристое chateau tamagne, розовое брют, 0,75 л, россия|8
хлопья makfa, 400 г, в ассортименте|5
гель- крем для душа le petit marseillais, акация, 250 мл|9
набор remy martin v.s. superieur: коньяк, 0,7 л, франция; 2 бокала|8
напиток пивной эсса, ананас и грейпфрут, 0,5 л|8
мороженое шоколадная прага, с кусочками шоколада и бисквита, 48 копеек, 370 г|7
напиток винный газированный абрау лайт, розовый, полусладкий, 0,75 л|8
набор конфет вдохновение, mini cupcakes, 165 г|7
пюре сами с усами, фруктовое, в ассортименте, 100 г|9
виски mcclellands highlan 0,7 л|8
2 пр носки мужские amato pierre cardin размер: 25- 31, цена при покупке кратно 2 шт|9
шампанское moet&chandon rose imperial, белое брют, 0,75 л, франция|8
коньяк арарат 3 звезды 0,7 л|8
сметана бабушкина крынка, 15%, 400 г|1
вино игристое beau de france, белое, полусладкое (франция), 0,75 л|8
торт филибейкер в ассортименте 700- 900 г|7
чипсы crunchips картофельные, в ассортименте, lorenz, 75 г|5
вино лази алазани, в ассортименте, полусухое, 0,75 л, грузия|8
томаты черри, красные, 250 г|2
сыр плавленый виола, сливочный, 60% (валио), 400 г|1
шоколад бабаевский люкс 100 г, цена при покупке кратно 2 шт|7
чай curtis, десерт ти коллекшн ассорти, 30 пакетиков|5
шампунь для волос clear 400 мл , цена при покупке кратно 2 шт|9
комплект постельного белья василиса чайный сервиз,100% хлопок, сатин: 1,5- спальный – 1999 руб. 2- спальный – 2499 руб. евро – 2999 руб. дуэт – 3499 руб.|9
вино cape art, сухое, в ассортименте, юар, 0,75 л|8
нектар теди, морковь, 750 мл|9
пиво жигули барное 0,5 л|8
вино игристое mondoro, в подарочной упаковке, 0,75 л, италия, в ассортименте|8
крючок большой command, цена при покупке кратно 2 шт|9
сосиски черкизовский венские, весовые, 1 кг|0
напиток винный санто стефано, газированный, белый полусладкий, 0,75 л|8
сыр полутвердый российский сливочный fine life 1 кг|1
конфеты merci, 125 г, в ассортименте|7
паста лента, шоколадно молочная, 700 г|7
подгузники pampers active baby, 1 уп.: - 4–9 кг, 150 шт. - 7–14 кг, 132 шт. - 9–16 кг, 120 шт. - 11–18 кг, 111 шт.|9
крем черный жемчуг, в ассортименте, 56 лет, 50 мл|9
конфеты шоколадные вдохновение, с цельным фундуком, 150 г|7
водка хаски 0,7 л|8
бульмени горячая штучка, с говядиной и свининой, 430 г|4
крем- мыло лента, жидкое, 300 мл, в ассортименте|9
лук зеленый, 100 г в уп.|2
российское шампанское tarino ассортименте россия, краснодарский край 0,75 л, цена/ цена кратная 6 бутылкам|8
вафли муля красотуля, в ассортименте, 180 г|7
кефир 3,2% простоквашино 930 г|1
зубная паста colgate 100 мл|9
набор dove, с любовью, 1 шт.|9
чай lipton пакетированный в ассортименте 25?2 г|5
кофе lavazza qualita rossa, жареный, в зернах, 1000 г|5
напиток энергетический берн, тропический микс, газированный, 500 мл|9
каша myllyn paras, 4- х зерновая, хлопья, 300 г|5
вода пилигрим, минеральная, в ассортименте, 1,5 л|9
холодный чай lipton в ассортименте 1, 5 л|9
суперсуп русский продукт, в ассортименте, 40- 45 г|5
паштет мясной печеночный рублевский с маслом 1 кг|0
морковь мытая, весовая, 1 кг|2
шоколад российский, в ассортименте, 90 г|7
посуда pasabahce borcam, жаропрочное стекло: - форма для выпечки: 22х 22 см – 199,99 руб.; 32х 28 см, 40х 25 см – 299,99 руб. - кастрюля с крышкой, 1,5 л – 299,99 руб.|9
соки и нектары ладушки; маша и медведь в ассортименте, 0,2 л|9
чипсы naturals, картофельные, в ассортименте, 100- 110 г|5
средство для чистки туалета туалетный утенок 750 мл/ 38г|9
салями венская, полукопченая, останкино, 420 г|0
горошек зеленый; кукуруза сладкая, global village, 340- 400 г|6
трусы женские vis- a- vis, классика, р- р 42–52: ds1024, ds1083, ds1158, ds1276, ds1297|9
чай чёрный принцесса нури в ассортименте 100?2 г|5
ополаскиватель для белья vernel 1,2/ 1,82 л , цена при покупке кратно 2 шт|9
зразы с сыром, ярославский бройлер, 480 г|0
майка gold max, 100% хлопок: - мужская, mv- 01, р- р 48–56 - женская, р- р 42–52: wv- 01, wv- 02|9
салат крабовый, весовой|6
шоколад вдохновение, 100 г|7
напиток пивной amsterdam navigator, 7%, 0,5 л|8
табурет мягкий каркас: сталь материал сиденья: искусственная кожа габариты: 28х 28х 49 см макс.нагрузка до 80 кг цвет: в ассортименте|9
рис националь, для плова, шлифованный, 900 г|5
продукт мясной тульский дворик, в желе, оригинальный, 400 г|0
икра имитированная дары моря, красная, 120 г|3
суп maggi, горячая кружка, куриная с сухариками, 19 г. 2+ 1. цена указана за 1 шт., при покупке 3 шт. одновременно|5
хлеб балтийский, 400 г|7
масло подсолнечное слобода 1,8 л|6
смесь овощная лента, 400 г: - овощи для жарки - по- деревенски - мексиканская - калифорния|4
кофе tchibo gold selection, растворимый, 47,5 г|5
конфеты раффаэлло, 150 г|7
мясорубка scarlett sc- mg45s54r - 2 диска для фарша в комплекте - удобная разборка шнека - функция реверс|9
салфетки лента детские, влажные, 70 шт. в уп.|9
набор салфеток для уборки микрофибра (100% полиэстер) 30 х 30 см 5 шт, цена при покупке кратно 2 шт|9
гель- наполнитель для кошачьих туалетов cat step cat step 3,8 л , цена при покупке кратно 2 шт|9
семга и форель филе- кусок aморе слабосоленые 300 г|3
вино лази грузинское, сухое, в ассортименте, 0,75 л|8
ветчина особая, главпродукт, 325 г|0
салями по- венски, полукопченая (иней), 350 г|0
виски jim beam, 0,7 л, сша|8
набор bacardi carta negra: ром, 0,7 л, германия; музыкальная колонка|8
крабовые палочки и крабовое мясо vici охлажденные от 200 г , цена при покупке кратно 2 шт|3
капуста квашеная лукашинские, 670 г|6
макаронные изделия дель кастелло, в ассортименте, 400 г|5
корм для кошек gourmet mon petit, в ассортименте, 50 г. 3+ 1. цена указана за 1 шт. при покупке 4 шт. одновременно|9
мясное пюре агуша, в ассортименте, 6- 7,7%, 80 г|9
кеды fm: - женские, р- р 36–41: at2342, at75003 - мужские, р- р 40–45: ss- 141255 p,|9
носки мужские palama, р- р 25–29: мд- 13, мд- 14|9
кофе нескафе, классик крема растворимый, 95 г|5
крупа манная увелка, 700 г|5
ручной блендер moulinex dd64113|9
творог 0,5% вкуснотеево 300 г|1
вино инкерман, крымское, мускатное, белое полусладкое, 0,7 л|8
молоко лента, ультрапастеризованное, 2,5%, 950 мл|1
паштет магуро, из тунца, 185 г|3
капсулы nescafe dolce gusto, 96–200 г, в ассортименте|5
соус долмио, с баклажанами и чесноком, 350 г|6
резерв шато тамань в ассортименте россия, краснодарский край 0,75 л, цена/ цена кратная 6 бутылкам|8
коньяк старый кенигсберг российский, 4- летний, 0,5 л, россия|8
кровяная домашняя, великолукский мясокомбинат, 330 г|0
прокладки discreet, ежедневные, водная лилия, 60 шт.|9
столовый набор luminarc color day стекло 45 предметов|9
фарш из мраморной говядины 400 г охлажденный газомодифицированная упаковка|0
сыр моцарелла для пиццы unagrande 460 г|1
блендер gemlux gl- pb- 788s объем стакана: 1,5 л 6 скоростей импульсный режим режим колки льда корпус из нержавеющей стали|9
вино игристое шато тамань, белое, полусладкое, 0,75 л|8
набор подарочный taft объем/ ultimate - лак, 225 мл - пена, 150 мл - косметичка|9
комплект постельного белья kylie пододеяльник и наволочки внешняя сторона: полиэстер, внутренняя сторона и простыня: 100% хлопок 2 спальный евро|9
чай curtis, в ассортименте, 20х 1,7- 1,8 г|5
сметана брест- литовск, 15%, 180 г|1
вермут martini bianco, сладкий, италия, 0,5 л|8
пиво старый мельник из бочонка мягкое в ассортименте 0,5 л|8
грудинка велком варено- копченая 450 г|0
прокладки для кормящих мам лента, для груди, 30 шт. в уп.|9
печенье/ бисквит milka, 150–200 г: - с кусочками шоколада - с шоколадной глазурью - с молочной начинкой|7
рис длиннозерный, увелка, 800 г|5
джемпер женский authentic размеры: s- 2xl. цвета и модели: в ассортименте|9
блюдо для запекания pyrex cook&store 28х 20 см, 2,6 л жаропрочное стекло, цена при покупке кратно 2 шт|9
масло оливковое itlv, extra virgen, 500 мл|6
конфеты joyco, сухофрукты в шоколаде, 150–200 г: - чернослив - финики - курага - инжир - персик|7
вода сенежская premium, минеральная, 0,5 л. 2+ 1. цена указана за 1 шт. при покупке 3 шт. одновременно|9
пиво velkopopovicky kozel, светлое, 4%, 0,5 л. 3+ 1. цена указана за 1 шт. при покупке 4 шт. одновременно|8
мед алтайский, цветочный, 500 г: - с преобладанием подсолнечника - полевые просторы|7
стул складной каркас: сталь материал сиденья: искусственная кожа габариты: 40x50x89 см макс.нагрузка до 80 кг цвет: в ассортименте|9
фарш любительский, охлажденный, мираторг, 400 г|0
бедро куриное, охлажденное, 1 кг|0
говядина тушеная березовский слонимский оршанский мк 325- 338 г|0
вино nero davola terre siciliane duca della rocca, красное, сухое, италия, 0,75 л|8
зефир сладкие истории, в ассортименте, 250 г|7
sauvignon blanc villa maria белое сухое вино новая зеландия, малборо 0,75 л, цена/ цена кратная 6 бутылкам|8
колбаса сальчичон черкизовский мк сырокопченая нарезка 100 г|0
напиток adrenalin, безалкогольный, энергетический, газированный, в ассортименте, 0,5 л|9
пиво bakalar светлое 0,5 л чехия|8
коньяк fathers old barrel, 5- летний, 0,5 л, россия|8
ароматизатор автомобильный dr. marcus sonic: pinacolada, exotic vanilla, fresh lemon, black, bubble gum, green apple, ocean breeze, sport|9
кета; горбуша, слабосоленая, филе- ломтики, fish house, 100 г|3
кальмар дальневосточный fine life очищенный свежемороженый 800 г|3
продукт овсяный velle, питьевой, ферментированный, 250 г, в ассортименте|1
кофе растворимый черная карта в ассортименте 95 г|5
жевательная резинка dirol x- fresh, в ассортименте, 18 г|7
сыр утренний, тысяча озёр, 45%, 240 г|1
кофе jardin, в зернах, 1000 г: - guatemala cloud forest - colombia supremo|5
мультиварка redmond rmc- 28|9
коньяк старейшина, российский, 3- летний, 40%, 0,5 л|8
полотенца бумажные papia, 3 слоя, 2 рулона, 1 уп.|9
сервелат финский, купеческий ряд варено- копченый (фрагмент), 350 г|0
печенье belvita, утреннее со злаками и йогуртовой начинкой, 253 г|7
пиво krusovice светлое, темное 0,5 л|8
сыр бри president ~2,8 кг 1 кг|1
ликер амаретто, сан марко, 25%, 0,5 л|8
сливки 20% домик в деревне 480 г|1
коктейль из морепродуктов меридиан в ассортименте 430 г|3
корм для кошек whiskas, в ассортименте, 85 г. 4+ 1. цена указана за 1 шт., при покупке 5 шт. одновременно|9
сыр сливочный виолетта, 60%, 400 г|1
кукуруза вареная в в/ у, 1 уп., 450 г|2
крупа гречневая мистраль, ядрица, 900 г|5
сыр ламбер, полутвердый, 50%, весовой, 1 кг|1
пельмени мираторг в ассортименте 800 г , цена при покупке кратно 2 шт|4
дезодорант dove 40/ 150 мл|9
десерт даниссимо творожный, danone, в ассортименте, 5,4- 7,2%, 130 г|1
сливки и молоко campina порционные 10 х 10 г , цена при покупке кратно 2 шт|1
набор чая curtis, dessert tea, 58,5 г|5
салат цезарь, весовой|6
виски white hourse 1 л|8
кофе зерновой paulig arabica, dark 1 кг, цена при покупке кратно 2 шт|5
коньяк remy martin vs 0,7 л|8
средство жидкое для стирки wellery delicate, 1 л, в ассортименте|9
биойогурт danone активиа, высокобелковый, обогащенный бифидобактериями actiregularis, 2,4- 3%, 130 г, в ассортименте|1
паста творожная савушкин продукт, 3,5%, 120 г, в ассортименте|1
груша китайская, 1 кг|2
сапоги мужские/ женские, утепленные, р- р 36–45: - корнетто, 016.4у, прозрачные - jbxy- 175, резиновые - 038, силиконовые|9
колготки женские innamore bella, 20 den, в ассортименте|9
мидии меридиан, в масле с томатами, чесноком, зеленью, 415 г|3
чай черный липтон, эрл грей, 25 пакетиков|5
конфеты florentino, флорентийский трюфель, 175 г: - с коньяком - с миндалем - классические|7
икра мойвы fish house, в ассортименте, 180 г|3
шоколад воздушный, пористый, белый, 85 г|7
вино dadimant rose, розовое сухое, 0,75 л, франция, лангедок- руссильон|8
сметана большая кружка, 20%, 315 г|1
bialoni в ассортименте грузия 0,75 л, цена/ цена кратная 2 бутылкам|8
котлеты домашние из индейки, gurmama, 300 г|4
конфеты батончик, ротфронт, 100 г|7
жилет женский alina размеры: m- 3xl цвета: бежевый, голубой, серый.|9
10|9
сыр брынза mlekara subotica 9000 г|1
сосиски молочные гост, великолукский мк, 330 г. 1+ 1. цена указана за 1 шт. при покупке 2 шт. одновременно|0
фасоль печеная, в томатном соусе, пиканта, 530 г|6
пиво хамовники, столовое, пастеризованное, светлое, 3,7%, 0,5 л|8
крупа перловая, пассим, 800 г|5
шампанское российское лев голицын, полусладкое, белое, 0,75 л|8
чипсы lay’s в ассортименте 80 г|5
сок лента гранатовый, прямой отжим, 1 л|9
конфеты альпен гольд, композишн, десять вкусов, 180 г|7
торт печеночный, весовой|6
мясное пюре агуша, в ассортименте, 5,5- 6,2%, 80 г|9
кофе якобс монарх, сублимированный, 75 г|5
пиво lowenbrau original светлое, 0,5 л, россия|8
ликер limoncello del conte, десертный, 25%, 0,5 л|8
шоколад молочный milka, в ассортименте, 250 г|7
лак для волос делайт, сверхсильная фиксация, 265 мл|9
горох колотый, увелка, 800 г|5
открытка арт и дизайн, двойная: - код а – 15,99 руб. - код ф – 44,99 руб.|9
чай черный ахмад ти, эрл грей, 100 г|5
комплект постельного белья disney минни, 100% хлопок: - 1,5- спальный – 1599 руб. - 2- спальный – 2299 руб. - евро – 2699 руб.|9
грейпфрут, 1 кг|2
набор конфет родные просторы, в ассортименте, 200 г|7
чипсы lays, в ассортименте, 80 г|5
rene schloesser шампанское белое брют франция,шампань 0,75 л, цена/ цена кратная 2 бутылкам|8
мидии в винной заливке; морской микс в рассоле, меридиан, 180 г|3
груши желтые, 1 кг|2
каша молочная фрутоняня, 200 г: - с 4 мес. - с 5 мес. - с 6 мес.|9
сардельки аппетитные, ладога, 400 г. 1+ 1. цена указана за 1 шт. при покупке 2 шт. одновременно|0
чемодан fm, dyt- 530, текстиль: - 51 см – 2699 руб. - 61 см – 2999 руб. - 71 см – 3499 руб.|9
напиток captain morgan, 1 л + стакан|8
ваза для цветов флора, 260 мм, 1 шт.|9
подушка декоративная funny чехол: 85% полиамид, 15% спандекс наполнитель: полиэтиленовые гранулы дизайн в ассортименте , цена при покупке кратно 2 шт|9
творог danone, мягкий, 5%, 170 г|1
порошок стиральный миф, автомат, 3в 1, свежесть долины роз, 4 кг|9
шпроты в масле, с ключом, вкусные консервы, 160 г|3
чипсы lays, в ассортименте, 40 г|8
конфеты fazer, 150 г, в ассортименте|7
конфеты а.коркунов ассорти белая коллекция, 118 г|7
батончик злаковый corny big, 50 г, в ассортименте|7
водка беленькая, золотая, 40%, 0,5 л|8
пирожное киндер пингви, в ассортименте, 30 г|7
конфеты fazer geisha, с начинкой из тертого ореха: - классические, 350 г - heart, 225 г|7
сметана простоквашино, 15%, 315 г|1
сыр landers famiglia, 30%, 230 г|1
набор singleton: виски односолодовый, 12- летний, 0,7 л, великобритания; 2 стакана|8
конфеты кара- кум, красный октябрь, 250 г|7
набор полотенец краса, 100% хлопок, 30х 50 см, 3 шт. в уп., в ассортименте|9
кофе черная карта, арабика, зерновой, 250 г|5
шоколад алёнка 20 г|7
набор белая березка золотая: водка, 0,7 л, россия; 2 стопки|8
средство для мытья посуды fairy, нежные руки, ромашка и витамин е, 900 мл|9
соки и нектары дары кубани в ассортименте 1 л|9
зеркало homeclub bcm- 1136, с подсветкой - 16 светодиодов - вращение на 180° - место для хранения украшений|9
каша агуша, в ассортименте, 2,5- 2,7%, 200 мл. 2+ 1. цена указана за 1 шт. при покупке 3 шт. одновременно|9
кофе якобс, милликано, молотый в растворимом, 95 г|5
кофе жокей триумф, растворимый, 280 г|5
соус майонезный семейные секреты, легкий, 15%, 400 мл|6
туалетная бумага kleenex 3 слоя, 8 рулонов|9
кондиционер для белья lenor, концентрированный, 930–1000 мл, в ассортименте|9
сельдь исландка, филе кусочки в красновинной заливке (русское море), 115 г|3
масло подсолнечное злато, рафинированное, дезодорированное, 1 л|6
стиральный порошок миф 2 кг|9
печенье юбилейное в ассортименте 116 г|7
масло подсолнечное, россиянка, 1 л|6
кофе tchibo gold mokka, молотый, 250 г|5
тушки перепелов «премиум» подложка 1 кг|0
средство для стирки ласка, 1 л, в ассортименте|9
корм whiskas для кошек и котят, 85 г, в ассортименте|9
виноград кишмиш, 1 кг|2
стебель сельдерея, 1 шт.|2
завтрак готовый nestl?, 700 г, в ассортименте|5
вино инкерман, каберне, красное, сухое, 0,7 л|8
кетчуп слобода, в ассортименте, 350 г|6
сыр плавленый виола, сливочный, 50%, 130 г|1
текстиль: - скатерть: винил: 110х 140 см – 199,90 руб.; 150х 225 см – 399,90 руб.; полулен, 178х 140 см – 1299 руб. - салфетки, полулен, 45х 45 см, 2 шт. в уп. – 249,99 руб.|9
конфеты шоколадные трюфели, посыпанные темным шоколадом, 180 г|7
конфеты шоколадные мерси, ассорти, 250 г|7
фасоль bonduelle, печеная, в томатном соусе, 540 г|6
виски jim beam 0,7 л|8
шоколадные конфеты комильфо|7
средства для ухода за телом nivea, 250 мл, в ассортименте|9
галоши утепленные, с надставкой: - женские, 135- 3139- 3144у/ 084- 010/ 088- 010, р- р 36–41 - мужские, 087- 010/ 083- 010, р- р 41–45|9
шампунь для волос clear vita abe, женский/ мужской, 400 мл, в ассортименте|9
пюре мясное агуша, кролик, 7%, 80 г|9
яблоки гренни смит, 1 кг|2
умный чайник- светильние redmond skykettle rk- g201s|9
кофе carte noire, растворимый, 150 г|5
творожный продукт danone, в ассортименте, 3,6%, 170 г|1
пиво kronenbourg в ассортименте 0,45 л|8
лак для волос taft, сенсо- тач объем, сверхсильная фиксация, 225 мл|9
вода парфюмированная ascania, 50 мл, в ассортименте|9
маслины itlv черные, с косточкой/ без косточки, 370 мл|6
шейка alto concetto сыровяленая нарезка 100 г|0
ирис meller, с шоколадом, 38 г|7
масло оливковое в ассортименте, global village, 0,5 л|6
набор tipson: - чай, 75 г + 3d- открытка- магнит + салфетка – 349,99 руб. - чай, 85 г + зонт – 499,99 руб.|5
средства для стирки bimax, в ассортименте, 3 кг; 1,5 кг; 1,5 л|9
сыр творожный карат violette, 70%, 140 г, в ассортименте|1
бедро цыпленка- бройлера, без кости и кожи, охлажденное, весовое, 1 кг|0
мясо кур, замороженное, роскар, 1 кг|0
кофе нескафе, дольче густо в ассортименте, 16 капсул|5
вино matsu el picaro, красное сухое, 0,75 л, испания, торо|8
чай живой вкус, зеленый, 42 г|5
сливки простоквашино, ультрапастеризованные, 10%, 200 мл|1
конфеты raffaello, 500 г|7
набор captain morgan spiced gold: напиток спиртной, 1 л, великобритания; стакан|8
шоколадные конфеты merci, с кремово- фруктовой начинкой, storck, 250 г|7
напиток энергетический флеш ап, энерджи, 500 мл|9
пельмени домашние, мираторг, 800 г|4
ваза пион, стекло, 26 см|9
томаты в томатном соке, неочищенные, помидорка, 720 мл|6
шампанское российское левъ голицынъ, белое, 0,75 л, россия, в ассортименте|8
сосиски баварские дымов 600 г|0
сосиски куриные, новогородский бекон, 500 г|0
мясо домашних перепелов перепелочка, охлажденное, 520 г. 2 по цене 1. цена указана за единицу товара и действительна при одновременной покупке 2 шт.|0
комплект постельного белья florian 100% хлопок дизайн в ассортименте 2 сп, 1699,00, 2 сп евро- 1899,00, 2 сп семейный - 2199|9
шейка подмосковная metro chef варено- копченая нарезка 1 кг|0
водка пять озер, 40%, 0,5 л|8
соки и нектары j- 7 тонус, 1,45 л, в ассортименте|9
конфеты россия – щедрая душа родные просторы, 190–200 г, в ассортименте|7
бумага туалетная familia plus, белая, 2- слойная, 12 шт. в уп., в ассортименте|9
напиток fresh cherry, сильногазированный, 0,33 л|9
вино игристое beau de france, белое, брют (франция), 0,75 л|8
средство для стирки persil 3 кг/ 1,46 л/ 14шт, цена при покупке кратно 2 шт|9
брюки женские authentic размеры: xs- xl|9
набор segafredo - кофе buono, молотый, 250 г - кофейная пара|5
кондиционер для белья lenor, в ассортименте, 910 мл; 1 л|9
набор конфет комильфо, фисташка, 116 г|7
пиво wolpertinger в ассортименте 0,5 л, германия, цена/ цена кратная 2 бутылкам|8
халва восточный гость, подсолнечная с арахисом, 350 г|7
вино игристое grand cuvee 1531 de aimery cremant de limoux, брют, 0,75 л, франция, в ассортименте|8
мука предпортовая, 2 кг|5
средство для мытья посуды fairy 450 мл|9
кофе молотый lavazza oro 250 г|5
печенье петродиет, молочное, на фруктозе, 170 г|7
вода аш- тау, минеральная, 0,5 л|9
сыр грюйер le superbe 1 кг|1
напиток безалкогольный red bull, энергетический, газированный, 0,25 л|9
стейк рибай из мраморной говядины вакуумная упаковка , цена при покупке кратно 2 шт|0
шоколад милка, в ассортименте, 90 г|7
йогурт активиа 150 г натуральный|1
шоколад fine life в ассортименте 90 г|7
набор подарочный my sweet greetings lambertz, 1000 г|7
шоколад чемпион вкуса, молочный, 45 г, в ассортименте|7
контейнер пластиковый, герметичный, hitt, 0,7 л, 1 шт.|9
veuve clicquot gift box шампанское белое брют франция, шампань 0,75 л, цена/ цена кратная 6 бутылкам|8
овощные смеси fine life в ассортименте 400 г|4
соки и нектары фруктовый сад в ассортименте 0, 2 л , цена при покупке кратно 2 шт|9
филе бедра индейки охлажденное вакуумная упаковка 1 кг|0
крем для рук бархатные ручки, питательный, 80 мл|9
хек, тушка, fish house, 800 г|3
прокладки naturella, ультра нормал, 40 шт.|9
пирожные лента чизкейк, ассорти, 325 г|7
набор syoss, шампунь + бальзам, 1 шт.|9
ополаскиватель для полости рта лесной бальзам 400 мл , цена при покупке кратно 2 шт|9
йогурт активиа 150 г в ассортименте|1
напиток алкогольный jim beam, 0,7 л, сша, в ассортименте|8
цыпленок по- кавказски, весовой|6
набор конфет joyco exclusive, 200 г|7
вино игристое chandon, брют, 0,75 л, аргентина, в ассортименте|8
мороженое лента пломбир, 400 г, в ассортименте|7
постный штоллен kuchenmeister 500 г|7
cremant dalse aoc dirler- cade игристое белое брют франция, эльзс 0,75 л , цена/ цена кратная 6 бутылкам|8
вода мицеллярная nivea, для сухой и чувствительной кожи, 3в 1, 400 мл|9
молоко вологодское, ультрапастеризованное, 3,2%, 1000 г|1
смесь малютка детское молочко, 600 г: - с 12 мес. - с 18 мес.|9
шоколад россия в ассортименте 90 г|7
детская зубная паста/ щетка aquafresh 50 мл|9
сыр мк витако, плавленый, 60%, 400 г, в ассортименте|1
шоколад голицин, горький с фруктозой, 60 г|7
набор конфитрейд: - конфеты персонажи, с сюрпризом, 125 г - печенье, с предсказанием удачи, 42 г|7
кофе jacobs monarch растворимый в ассортименте 150 г|5
шоколад alpen gold, в ассортименте, 85- 90 г. 1+ 1|7
тортилья delicados в ассортименте 400 г , цена при покупке кратно 2 шт|7
творог свежее завтра, 5%, 200 г|1
стиральный порошок bimax 6 кг|9
соки и нектары фруктовый сад в ассортименте 1, 93 л|9
подгузники- трусики libero up&go, 1 уп.: - 10–14 кг, 68 шт. - 13–20 кг, 62 шт. - 16–26 кг, 56 шт.|9
вино bajos tempanillo toro, красное, сухое, 0,75 л|8
пижама мужская fm, футболка и шорты, р- р 46–54: um073, um074, m11658|9
напиток безалкогольный эльфреско, мохито классический, 1,25 л|9
шоколад milka oreo, молочный, 300 г|7
шампанское российское абрау- дюрсо, белое, полусладкое, 0,75 л|8
отпариватель для одежды homeclub ht- g03 - время работы при полном резервуаре 60 мин - объем резервуара для воды 1,6 л - 4 уровня интенсивности пара - расход пара 30–60 г/ мин - время нагрева 45 сек|9
набор подарочный le petit marseillais, гель для душа белый персик, 250 мл + мыло белый персик, 2 шт. х 90 г|9
напиток винный газированный боска розе, полусладкий, розовый (литва), 0,75 л|8
зефир в ассортименте, самойловские сладости, 335 г|7
пряники к кофе, дымка, 420 г|7
колбаса богородская, сырокопченая, черкизово, 300 г|0
ликер amaretto, десертный, 0,5 л, россия|8
средства для стирки losk, автомат: - капсулы duo- caps, 21 шт. в уп. - порошок, 4,5 кг - гель, 2,19 л|9
напиток безалкогольный fuze tea, 1,5 л, в ассортименте|9
таблетки для посудомоечной машины somaт 80- 120 шт , цена при покупке кратно 2 шт|9
напиток винный деласи, вермут, красный, сладкий, 1 л|8
творог 5% вкуснотеево 300 г|1
чай lipton, черный/ зеленый, 100 пак. в уп., в ассортименте|5
принадлежности постельные василиса пионы, чехол 100% хлопок: - подушка: 50х 70 см – 399,99 руб.; 70х 70 см – 499,99 руб. - одеяло: 1,5- спальное – 999,99 руб.; 2- спальное – 1299 руб.; евро – 1499 руб.|9
физалис, 100 г в уп.|2
чипсы lays, 150 г, в ассортименте|5
напиток биолакт агуша, кисломолочный, 3,2%, 200 г|9
вареники лепим радости, картофель- зелень, 900 г|4
напиток газированный кока- кола; кока- кола зеро, 1,5 л|9
каша овсяная ясно солнышко ассорти, с абрикосом, изюмом, яблоком, быстрого приготовления, 45 г х 6 шт. в уп.|5
кофе jacobs, растворимый, 95 г: - декофеинизированный - monarch - intense - velour - gold|5
брюки мужские домашние fm, aw13um002, 100% хлопок, р- р 46–54|9
чай черный липтон, эрл грей, 25 пакетиков|5
средство для мытья посуды fairy, 650–900 мл, в ассортименте|9
набор чая и чайных напитков tess: - 12 видов, 102 г – 249,99 руб. - 9 видов, 82 г – 299,99 руб.|5
колбаса casademont сальчичон монтанья экстр сыровяленая, 250 г|0
набор johnsons body care|9
напиток алкогольный/ ром captain morgan, 1 л, великобритания, в ассортименте|8
серия посуды luminarc armoise стекло , цена при покупке кратно 2 шт|9
каша по- монастырски гречневая, с грибами и луком, сытоедов, 300 г|4
виски macallan, 12- летний, односолодовый, в подарочной упаковке, 0,7 л, великобритания|8
весы напольные homeclub gt- 973 - индикатор низкого заряда батареи - автоматическое отключение - точность взвешивания 100 г|9
шоколад вдохновение, в ассортименте, 100 г|7
сельдь лента, филе- кусочки, 500 г, в ассортименте|3
вафли с начинкой из какао- крема, koukou roukou, 25 г|7
чай lipton sir thomas, черный, листовой, 100 г|5
дезодорант- спрей garnier нео, нежный букет, 150 мл|9
молоко отборное 3,4- 4% простоквашино пастеризованное 0,93 л|1
пюре бабушкино лукошко, в ассортименте, 100 г|9
сельдь по- домашнему, в ассортименте, kingfish, 380 г|3
вино sangria, красное, полусладкое, 1 л|8
напиток pepsi; pepsi light; mirinda; 7- up, 2,25 л|9
напиток винный газированный абрау лайт, белый, полусладкий, 0,75 л|8
очки солнцезащитные: sgl- 1, sgм- 5|9
виноград звездочки, сушеный, светлый, 300 г|5
зубная щетка colgate, массажер, средней жесткости, 1 шт.|9
кофе nescafe gold barista style, растворимый, 85 г|5
горбуша, без головы, потрошеная, из замороженного сырья, весовая, 1 кг|3
полотенце махровое ardenza, 100% хлопок, жаккард: - 50х 80 см – 139,99 руб. - 70х 120 см – 249,99 руб.|9
конфеты родные просторы, в ассортименте, 200 г|7
водка парламент, 40%, 0,5 л|8
водка беленькая люкс, 0,5 л, россия|8
батончик мюсли musler, в ассортименте, 30 г|7
салат оливье классический, весовой|6
petit chabils aoc louis jadot белое сухое вино франция, бургундия 0,75л, цена/ цена кратная 6 бутылкам|8
печенье mixbar, с кремом, 82 г|7
энергетический напиток adrenaline rush в ассортименте 0, 5 л|9
петрушка, 100 г|2
